Input,Output
"{{""skill"": ""data science"", ""weight"": 5},{""skill"": ""machine learning"", ""weight"": 4},{""skill"": ""python"", ""weight"": 3}}","[{""job_title"": ""Data Scientist"", ""job_description"": ""Utilize data science techniques and machine learning algorithms to extract insights from complex datasets."", ""job_growth(in percentage)"": ""8.0%"", ""average_annual_salary(in LPA)"": 45, ""skills"": [""Data science"", ""Machine learning"", ""Python""]}, {""job_title"": ""Machine Learning Engineer"", ""job_description"": ""Design and implement machine learning models for real-world applications."", ""job_growth(in percentage)"": ""7.2%"", ""average_annual_salary(in LPA)"": 50, ""skills"": [""Machine learning"", ""Data science"", ""Algorithm development""]}, {""job_title"": ""Python Developer"", ""job_description"": ""Develop and maintain applications using the Python programming language."", ""job_growth(in percentage)"": ""6.5%"", ""average_annual_salary(in LPA)"": 40, ""skills"": [""Python"", ""Web development"", ""Problem-solving""]}, {""job_title"": ""Data Analyst"", ""job_description"": ""Analyze and interpret data to provide valuable insights for decision-making."", ""job_growth(in percentage)"": ""5.8%"", ""average_annual_salary(in LPA)"": 35, ""skills"": [""Data analysis"", ""Statistics"", ""Communication""]}, {""job_title"": ""AI Researcher"", ""job_description"": ""Conduct research to advance artificial intelligence technologies and applications."", ""job_growth(in percentage)"": ""7.5%"", ""average_annual_salary(in LPA)"": 55, ""skills"": [""Artificial intelligence"", ""Machine learning"", ""Research""]}]"
"{{""skill"": ""java"", ""weight"": 4},{""skill"": ""spring framework"", ""weight"": 3},{""skill"": ""database management"", ""weight"": 5}}","[{""job_title"": ""Java Developer"", ""job_description"": ""Design and implement Java-based applications using the Spring framework."", ""job_growth(in percentage)"": ""7.5%"", ""average_annual_salary(in LPA)"": 42, ""skills"": [""Java"", ""Spring framework"", ""Database management""]}, {""job_title"": ""Database Administrator"", ""job_description"": ""Manage and optimize database systems for efficient data storage and retrieval."", ""job_growth(in percentage)"": ""6.8%"", ""average_annual_salary(in LPA)"": 38, ""skills"": [""Database management"", ""SQL"", ""Troubleshooting""]}, {""job_title"": ""Software Engineer"", ""job_description"": ""Develop and maintain software applications using Java and related technologies."", ""job_growth(in percentage)"": ""7.0%"", ""average_annual_salary(in LPA)"": 45, ""skills"": [""Java"", ""Software development"", ""Problem-solving""]}, {""job_title"": ""Systems Analyst"", ""job_description"": ""Analyze and design information systems to meet organizational needs."", ""job_growth(in percentage)"": ""5.5%"", ""average_annual_salary(in LPA)"": 40, ""skills"": [""Analysis"", ""Java"", ""Database management""]}, {""job_title"": ""Full Stack Java Developer"", ""job_description"": ""Work on both front-end and back-end development using Java and associated technologies."", ""job_growth(in percentage)"": ""8.2%"", ""average_annual_salary(in LPA)"": 50, ""skills"": [""Java"", ""Spring framework"", ""Web development""]}]"
"{{""skill"": ""cloud computing"", ""weight"": 5},{""skill"": ""AWS"", ""weight"": 4},{""skill"": ""DevOps"", ""weight"": 3}}","[{""job_title"": ""Cloud Solutions Architect"", ""job_description"": ""Design and implement scalable and secure cloud solutions."", ""job_growth(in percentage)"": ""7.8%"", ""average_annual_salary(in LPA)"": 55, ""skills"": [""Cloud computing"", ""AWS"", ""Solution architecture""]}, {""job_title"": ""DevOps Engineer"", ""job_description"": ""Implement and maintain continuous integration and deployment pipelines."", ""job_growth(in percentage)"": ""6.5%"", ""average_annual_salary(in LPA)"": 48, ""skills"": [""DevOps"", ""Automation"", ""Cloud computing""]}, {""job_title"": ""AWS Cloud Engineer"", ""job_description"": ""Specialize in the deployment and management of AWS cloud services."", ""job_growth(in percentage)"": ""7.0%"", ""average_annual_salary(in LPA)"": 50, ""skills"": [""AWS"", ""Cloud computing"", ""Infrastructure as code""]}, {""job_title"": ""Cloud Security Analyst"", ""job_description"": ""Ensure the security of cloud-based systems and data."", ""job_growth(in percentage)"": ""6.2%"", ""average_annual_salary(in LPA)"": 52, ""skills"": [""Cloud computing"", ""Security"", ""Risk management""]}, {""job_title"": ""Cloud DevOps Engineer"", ""job_description"": ""Combine DevOps practices with cloud technologies for efficient development and deployment."", ""job_growth(in percentage)"": ""8.5%"", ""average_annual_salary(in LPA)"": 60, ""skills"": [""Cloud computing"", ""DevOps"", ""AWS""]}]"
"{""skill"": ""mobile app development"", ""weight"": 5},{""skill"": ""iOS"", ""weight"": 4},{""skill"": ""Swift"", ""weight"": 3}","[{""job_title"": ""iOS Developer"", ""job_description"": ""Create mobile applications for iOS devices using Swift programming language."", ""job_growth(in percentage)"": ""8.0%"", ""average_annual_salary(in LPA)"": 48, ""skills"": [""iOS"", ""Swift"", ""Mobile app development""]}, {""job_title"": ""Mobile App Developer"", ""job_description"": ""Develop cross-platform mobile applications for various devices."", ""job_growth(in percentage)"": ""7.2%"", ""average_annual_salary(in LPA)"": 45, ""skills"": [""Mobile app development"", ""Android"", ""iOS""]}, {""job_title"": ""Swift Developer"", ""job_description"": ""Focus on application development using the Swift programming language."", ""job_growth(in percentage)"": ""6.5%"", ""average_annual_salary(in LPA)"": 42, ""skills"": [""Swift"", ""iOS"", ""Mobile app development""]}, {""job_title"": ""Android Developer"", ""job_description"": ""Build and optimize applications for the Android platform."", ""job_growth(in percentage)"": ""6.0%"", ""average_annual_salary(in LPA)"": 40, ""skills"": [""Mobile app development"", ""Android"", ""Java""]}, {""job_title"": ""React Native Developer"", ""job_description"": ""Develop mobile applications using the React Native framework for cross-platform compatibility."", ""job_growth(in percentage)"": ""7.8%"", ""average_annual_salary(in LPA)"": 50, ""skills"": [""Mobile app development"", ""React Native"", ""JavaScript""]}]"
"{{""skill"": ""cybersecurity"", ""weight"": 5},{""skill"": ""network security"", ""weight"": 4},{""skill"": ""ethical hacking"", ""weight"": 3}}","[{""job_title"": ""Cybersecurity Analyst"", ""job_description"": ""Monitor and secure computer systems against cyber threats and attacks."", ""job_growth(in percentage)"": ""7.5%"", ""average_annual_salary(in LPA)"": 55, ""skills"": [""Cybersecurity"", ""Network security"", ""Incident response""]}, {""job_title"": ""Network Security Engineer"", ""job_description"": ""Design and implement secure network infrastructure to protect against unauthorized access."", ""job_growth(in percentage)"": ""6.8%"", ""average_annual_salary(in LPA)"": 50, ""skills"": [""Network security"", ""Cybersecurity"", ""Firewall management""]}, {""job_title"": ""Ethical Hacker"", ""job_description"": ""Identify and fix vulnerabilities in computer systems through ethical hacking techniques."", ""job_growth(in percentage)"": ""6.0%"", ""average_annual_salary(in LPA)"": 45, ""skills"": [""Ethical hacking"", ""Cybersecurity"", ""Penetration testing""]}, {""job_title"": ""Security Consultant"", ""job_description"": ""Provide expert advice on securing information systems and data."", ""job_growth(in percentage)"": ""7.2%"", ""average_annual_salary(in LPA)"": 48, ""skills"": [""Cybersecurity"", ""Security consulting"", ""Risk management""]}, {""job_title"": ""Security Software Developer"", ""job_description"": ""Develop software solutions to enhance cybersecurity measures."", ""job_growth(in percentage)"": ""8.5%"", ""average_annual_salary(in LPA)"": 60, ""skills"": [""Cybersecurity"", ""Software development"", ""Security""]}]"
"{{""skill"": ""data analysis"", ""weight"": 5},{""skill"": ""machine learning"", ""weight"": 4},{""skill"": ""python"", ""weight"": 3}}","[{""job_title"": ""Data Scientist"", ""job_description"": ""Utilize data analysis and machine learning techniques to extract valuable insights from large datasets."", ""job_growth(in percentage)"": ""8.2%"", ""average_annual_salary(in LPA)"": 40, ""skills"": [""Data analysis"", ""Machine learning"", ""Python""]}, {""job_title"": ""Business Analyst"", ""job_description"": ""Analyze business processes and provide data-driven recommendations for improvement."", ""job_growth(in percentage)"": ""6.0%"", ""average_annual_salary(in LPA)"": 35, ""skills"": [""Data analysis"", ""Statistics"", ""Communication""]}, {""job_title"": ""Research Analyst"", ""job_description"": ""Conduct research using statistical methods to support decision-making processes."", ""job_growth(in percentage)"": ""5.5%"", ""average_annual_salary(in LPA)"": 30, ""skills"": [""Statistics"", ""Data analysis"", ""Research""]}, {""job_title"": ""Machine Learning Engineer"", ""job_description"": ""Design and implement machine learning models for various applications."", ""job_growth(in percentage)"": ""7.8%"", ""average_annual_salary(in LPA)"": 45, ""skills"": [""Machine learning"", ""Data analysis"", ""Programming""]}, {""job_title"": ""Financial Analyst"", ""job_description"": ""Analyze financial data and trends to provide insights for investment decisions."", ""job_growth(in percentage)"": ""6.5%"", ""average_annual_salary(in LPA)"": 38, ""skills"": [""Data analysis"", ""Statistics"", ""Financial analysis""]}]"
"{{""skill"": ""web development"", ""weight"": 4},{""skill"": ""javascript"", ""weight"": 3},{""skill"": ""html"", ""weight"": 5}}","[{""job_title"": ""Full Stack Developer"", ""job_description"": ""Develop and maintain both front-end and back-end components of web applications."", ""job_growth(in percentage)"": ""7.0%"", ""average_annual_salary(in LPA)"": 42, ""skills"": [""Web development"", ""HTML"", ""JavaScript""]}, {""job_title"": ""Front-end Developer"", ""job_description"": ""Create visually appealing and responsive user interfaces using HTML, CSS, and JavaScript."", ""job_growth(in percentage)"": ""6.2%"", ""average_annual_salary(in LPA)"": 38, ""skills"": [""Web development"", ""JavaScript"", ""UI/UX design""]}, {""job_title"": ""Back-end Developer"", ""job_description"": ""Build and maintain server-side logic and databases for web applications."", ""job_growth(in percentage)"": ""6.8%"", ""average_annual_salary(in LPA)"": 40, ""skills"": [""Web development"", ""JavaScript"", ""Database management""]}, {""job_title"": ""UI/UX Designer"", ""job_description"": ""Design user interfaces and experiences for web and mobile applications."", ""job_growth(in percentage)"": ""5.5%"", ""average_annual_salary(in LPA)"": 35, ""skills"": [""UI/UX design"", ""Web development"", ""Creativity""]}, {""job_title"": ""JavaScript Developer"", ""job_description"": ""Specialize in developing applications using JavaScript and related technologies."", ""job_growth(in percentage)"": ""7.5%"", ""average_annual_salary(in LPA)"": 45, ""skills"": [""JavaScript"", ""Web development"", ""Problem-solving""]}]"
"{{""skill"": ""java"", ""weight"": 4},{""skill"": ""spring framework"", ""weight"": 3},{""skill"": ""database management"", ""weight"": 5}}","[{""job_title"": ""Java Developer"", ""job_description"": ""Design and implement Java-based applications using the Spring framework."", ""job_growth(in percentage)"": ""7.5%"", ""average_annual_salary(in LPA)"": 42, ""skills"": [""Java"", ""Spring framework"", ""Database management""]}, {""job_title"": ""Database Administrator"", ""job_description"": ""Manage and optimize database systems for efficient data storage and retrieval."", ""job_growth(in percentage)"": ""6.8%"", ""average_annual_salary(in LPA)"": 38, ""skills"": [""Database management"", ""SQL"", ""Troubleshooting""]}, {""job_title"": ""Software Engineer"", ""job_description"": ""Develop and maintain software applications using Java and related technologies."", ""job_growth(in percentage)"": ""7.0%"", ""average_annual_salary(in LPA)"": 45, ""skills"": [""Java"", ""Software development"", ""Problem-solving""]}, {""job_title"": ""Systems Analyst"", ""job_description"": ""Analyze and design information systems to meet organizational needs."", ""job_growth(in percentage)"": ""5.5%"", ""average_annual_salary(in LPA)"": 40, ""skills"": [""Analysis"", ""Java"", ""Database management""]}, {""job_title"": ""Full Stack Java Developer"", ""job_description"": ""Work on both front-end and back-end development using Java and associated technologies."", ""job_growth(in percentage)"": ""8.2%"", ""average_annual_salary(in LPA)"": 50, ""skills"": [""Java"", ""Spring framework"", ""Web development""]}]"
"{{""skill"": ""cloud computing"", ""weight"": 5},{""skill"": ""AWS"", ""weight"": 4},{""skill"": ""DevOps"", ""weight"": 3}}","[{""job_title"": ""Cloud Solutions Architect"", ""job_description"": ""Design and implement scalable and secure cloud solutions."", ""job_growth(in percentage)"": ""7.8%"", ""average_annual_salary(in LPA)"": 55, ""skills"": [""Cloud computing"", ""AWS"", ""Solution architecture""]}, {""job_title"": ""DevOps Engineer"", ""job_description"": ""Implement and maintain continuous integration and deployment pipelines."", ""job_growth(in percentage)"": ""6.5%"", ""average_annual_salary(in LPA)"": 48, ""skills"": [""DevOps"", ""Automation"", ""Cloud computing""]}, {""job_title"": ""AWS Cloud Engineer"", ""job_description"": ""Specialize in the deployment and management of AWS cloud services."", ""job_growth(in percentage)"": ""7.0%"", ""average_annual_salary(in LPA)"": 50, ""skills"": [""AWS"", ""Cloud computing"", ""Infrastructure as code""]}, {""job_title"": ""Cloud Security Analyst"", ""job_description"": ""Ensure the security of cloud-based systems and data."", ""job_growth(in percentage)"": ""6.2%"", ""average_annual_salary(in LPA)"": 52, ""skills"": [""Cloud computing"", ""Security"", ""Risk management""]}, {""job_title"": ""Cloud DevOps Engineer"", ""job_description"": ""Combine DevOps practices with cloud technologies for efficient development and deployment."", ""job_growth(in percentage)"": ""8.5%"", ""average_annual_salary(in LPA)"": 60, ""skills"": [""Cloud computing"", ""DevOps"", ""AWS""]}]"
"{{""skill"": ""data analysis"", ""weight"": 5},{""skill"": ""machine learning"", ""weight"": 4},{""skill"": ""python"", ""weight"": 3}}","[{""job_title"": ""Data Scientist"", ""job_description"": ""Utilize data analysis and machine learning techniques to extract valuable insights from large datasets."", ""job_growth(in percentage)"": ""8.2%"", ""average_annual_salary(in LPA)"": 40, ""skills"": [""Data analysis"", ""Machine learning"", ""Python""]}, {""job_title"": ""Business Analyst"", ""job_description"": ""Analyze business processes and provide data-driven recommendations for improvement."", ""job_growth(in percentage)"": ""6.0%"", ""average_annual_salary(in LPA)"": 35, ""skills"": [""Data analysis"", ""Statistics"", ""Communication""]}, {""job_title"": ""Research Analyst"", ""job_description"": ""Conduct research using statistical methods to support decision-making processes."", ""job_growth(in percentage)"": ""5.5%"", ""average_annual_salary(in LPA)"": 30, ""skills"": [""Statistics"", ""Data analysis"", ""Research""]}, {""job_title"": ""Machine Learning Engineer"", ""job_description"": ""Design and implement machine learning models for various applications."", ""job_growth(in percentage)"": ""7.8%"", ""average_annual_salary(in LPA)"": 45, ""skills"": [""Machine learning"", ""Data analysis"", ""Programming""]}, {""job_title"": ""Financial Analyst"", ""job_description"": ""Analyze financial data and trends to provide insights for investment decisions."", ""job_growth(in percentage)"": ""6.5%"", ""average_annual_salary(in LPA)"": 38, ""skills"": [""Data analysis"", ""Statistics"", ""Financial analysis""]}]"
